@id,@type,name,amenity,sport,@lat,@lon
4060278695,node,Schwebende Plattform,,fitness,48.1072386,11.5834570
4060278696,node,Stützspringen,,fitness,48.1072288,11.5835671
4060278697,node,Trampolin,,fitness,48.1073131,11.5837622
4066631490,node,Strömungskanal,,fitness,48.5383300,11.5104413
4066792789,node,Wellenbecken,,fitness,48.5383368,11.5103423
4066801792,node,Nackenduschen,,fitness,48.5382667,11.5102625
4165425849,node,Fit Star München-Pasing (FitStar),,fitness,48.1498268,11.4591055
4230948166,node,4FCIRCLE Bewegungsparcours,,fitness,48.1368891,11.5071852
4309893982,node,,,fitness,48.0266585,11.5139587
4309893984,node,,,fitness,48.0272684,11.5129100
4309893985,node,,,fitness,48.0272801,11.5152442
4309893986,node,,,fitness,48.0277842,11.5158101
4309893987,node,,,fitness,48.0278155,11.5122139
4309893988,node,,,fitness,48.0284416,11.5129945
4309894389,node,,,fitness,48.0287241,11.5150805
4309894390,node,,,fitness,48.0289349,11.5129676
4309894391,node,,,fitness,48.0292407,11.5141927
4309894392,node,,,fitness,48.0298066,11.5131795
4309894393,node,,,fitness,48.0298676,11.5137803
4309894394,node,,,fitness,48.0299277,11.5151798
4309894395,node,,,fitness,48.0302784,11.5142072
4309894396,node,,,fitness,48.0303976,11.5181865
4309894397,node,,,fitness,48.0306290,11.5165021
4309894398,node,,,fitness,48.0306398,11.5159945
4309894399,node,,,fitness,48.0307528,11.5167381
4309894400,node,,,fitness,48.0307725,11.5171646
4309894401,node,,,fitness,48.0310012,11.5178399
4459615090,node,Fit Star (FitStar),,fitness,48.1437439,11.4988239
4708657796,node,,,fitness,48.0411373,11.5197630
4862765808,node,20one,,fitness,48.3553187,10.9823269
4893622382,node,Steffis Dance Center,,fitness,48.1329733,11.2947054
5022851028,node,Markus Friedrich Personal Training,,fitness,48.4081822,11.7405567
5141722423,node,,,fitness,48.1206800,11.6584537
5141722424,node,,,fitness,48.1205535,11.6583905
5141722425,node,,,fitness,48.1205411,11.6585757
5141722426,node,,,fitness,48.1206087,11.6585975
5141722427,node,,,fitness,48.1206240,11.6585430
5141722428,node,,,fitness,48.1206182,11.6585713
5141722429,node,,,fitness,48.1205644,11.6586497
5141722430,node,,,fitness,48.1205513,11.6587543
5141722431,node,,,fitness,48.1204429,11.6583687
5141722451,node,,,fitness,48.1205891,11.6587042
5141722452,node,,,fitness,48.1206015,11.6586759
5141722491,node,,,fitness,48.1203629,11.6585408
5141722504,node,,,fitness,48.1206422,11.6584907
5141783035,node,Slackline,,fitness,48.0325534,11.5159402
5145413006,node,Balancieren,,fitness,48.1048473,11.5078016
5145413007,node,Balancieren,,fitness,48.1046937,11.5075183
5145413008,node,Hockwenden,,fitness,48.1046720,11.5076281
5145413013,node,Stützschwingen,,fitness,48.1046204,11.5077765
5145413014,node,,,fitness,48.1047073,11.5080143
5145413015,node,Liegestütz,,fitness,48.1047786,11.5079737
5145413016,node,,,fitness,48.1048478,11.5079168
5145413019,node,,,fitness,48.1046775,11.5076688
5145413020,node,,,fitness,48.1046652,11.5079411
5145414534,node,,,fitness,48.1045899,11.5076810
5145414535,node,,,fitness,48.1045736,11.5076871
5145414536,node,,,fitness,48.1045687,11.5077720
5145414537,node,,,fitness,48.1045967,11.5077867
5178723800,node,Armzug,,fitness,48.0323634,11.5164040
5178723801,node,Liegestützen,,fitness,48.0323032,11.5165685
5203668945,node,,,fitness,48.1160506,11.5318321
5206150540,node,Clever fit,,fitness,48.0310523,11.5819458
5248931638,node,Vorwärtshüpfen,,fitness,48.0849339,11.5796468
5248931640,node,Gehen Laufen oder Hüpfen,,fitness,48.0827579,11.5853913
5248931641,node,Wanderhangeln,,fitness,48.0870105,11.5767648
5248931642,node,Beinspreizen,,fitness,48.0873516,11.5771471
5248931643,node,Senken rückwärts und heben,,fitness,48.0832336,11.5822575
5248931644,node,Flanke über Hindernis,,fitness,48.0819013,11.5841445
5248931645,node,Rumpfdrehen,,fitness,48.0841376,11.5804607
5248931646,node,Knie beugen,,fitness,48.0864228,11.5774937
5248931647,node,Balancieren,,fitness,48.0870568,11.5762392
5248931648,node,Rumpfkreisen,,fitness,48.0825527,11.5832989
5248931649,node,In Stütz springen,,fitness,48.0856941,11.5781850
5248931650,node,Liegestütze,,fitness,48.0869314,11.5776693
5248931651,node,Knie durchstecken links und rechts,,fitness,48.0836436,11.5814160
5250629233,node,Armkreisen,,fitness,48.0882047,11.5772713
5250629234,node,Froschhüpfen,,fitness,48.0849024,11.5823281
